N,dtype,mode,cpu_ms_median,gpu_h2d_ms_median,gpu_compute_ms_median,gpu_d2h_ms_median,gpu_total_ms_median,speedup_compute_cpu_over_gpu,speedup_total_cpu_over_gpu,energy_joules,energy_method,FLOPs,MACs,TFLOP_per_s_compute,TMAC_per_s_compute,J_per_FLOP,J_per_MAC,note
256,fp32,float,0.11223400360904634,0.08359999628737569,0.028672000393271446,0.04639101098291576,0.1586630076635629,3.9144113445040505,0.707373478303355,6.621,nvml_total_energy_mj,33554432,16777216,1.1702856982338186,0.5851428491169093,1.9732117652893068e-07,3.9464235305786135e-07,Integer/fixed matmul support varies; skipped rows indicate unsupported ops on this GPU/build.
512,fp32,float,0.7746485061943531,0.24678450427018106,0.07680000364780426,0.13485600356943905,0.4584405114874244,10.086568611986005,1.6897470593970463,0.0,nvml_total_energy_mj,268435456,134217728,3.4952531673177156,1.7476265836588578,0.0,0.0,Integer/fixed matmul support varies; skipped rows indicate unsupported ops on this GPU/build.
1024,fp32,float,5.840861471369863,0.5970984930172563,0.37376001477241516,0.3115739964414388,1.2824325042311102,15.62730426080061,4.554517646815093,4.541,nvml_total_energy_mj,2147483648,1073741824,5.745621690719422,2.872810845359711,2.114567905664444e-09,4.229135811328888e-09,Integer/fixed matmul support varies; skipped rows indicate unsupported ops on this GPU/build.
2048,fp32,float,46.73048201948404,2.00833598501049,2.9265921115875244,0.9608300169929862,5.895758113591,15.967541849942041,7.926119274086254,25.143,nvml_total_energy_mj,17179869184,8589934592,5.870264296817507,2.9351321484087536,1.463515218347311e-09,2.927030436694622e-09,Integer/fixed matmul support varies; skipped rows indicate unsupported ops on this GPU/build.
