N,dtype,mode,cpu_ms_median,gpu_h2d_ms_median,gpu_compute_ms_median,gpu_d2h_ms_median,gpu_total_ms_median,speedup_compute_cpu_over_gpu,speedup_total_cpu_over_gpu,energy_joules,energy_method,FLOPs,MACs,TFLOP_per_s_compute,TMAC_per_s_compute,J_per_FLOP,J_per_MAC,note
256,fp16,float,17.15651201084256,0.0937680306378752,0.025599999353289604,0.033506512409076095,0.1528745424002409,670.1762673536141,112.22608906278909,6.761,nvml_total_energy_mj,33554432,16777216,1.310720033111573,0.6553600165557865,2.01493501663208e-07,4.02987003326416e-07,Integer/fixed matmul support varies; skipped rows indicate unsupported ops on this GPU/build.
512,fp16,float,145.7642414898146,0.29090349562466145,0.026623999699950218,0.07337803253903985,0.3909055278636515,5474.918987851669,372.8886677209062,0.0,nvml_total_energy_mj,268435456,134217728,10.08246165208986,5.04123082604493,0.0,0.0,Integer/fixed matmul support varies; skipped rows indicate unsupported ops on this GPU/build.
1024,fp16,float,3271.9906140118837,0.6390994822140783,0.0655359998345375,0.19720051204785705,0.9018359940964729,49926.61471973977,3628.1437372545884,0.0,nvml_total_energy_mj,2147483648,1073741824,32.76800008273125,16.384000041365624,0.0,0.0,Integer/fixed matmul support varies; skipped rows indicate unsupported ops on this GPU/build.
2048,fp16,float,26773.520553979324,3.1224910053424537,0.27955201268196106,0.5342910008039325,3.9363340188283473,95772.94864422547,6801.638383814919,6.84,nvml_total_energy_mj,17179869184,8589934592,61.45500087507895,30.727500437539476,3.9814040064811706e-10,7.962808012962341e-10,Integer/fixed matmul support varies; skipped rows indicate unsupported ops on this GPU/build.
