N,dtype,mode,cpu_ms_median,gpu_h2d_ms_median,gpu_compute_ms_median,gpu_d2h_ms_median,gpu_total_ms_median,speedup_compute_cpu_over_gpu,speedup_total_cpu_over_gpu,energy_joules,energy_method,FLOPs,MACs,TFLOP_per_s_compute,TMAC_per_s_compute,J_per_FLOP,J_per_MAC,note
256,bf16,float,0.5659685120917857,0.09970349492505193,0.025599999353289604,0.03845448372885585,0.16375797800719738,22.10814556208411,3.456127872236616,0.0,nvml_total_energy_mj,33554432,16777216,1.310720033111573,0.6553600165557865,0.0,0.0,Integer/fixed matmul support varies; skipped rows indicate unsupported ops on this GPU/build.
512,bf16,float,4.0898135339375585,0.2412215108051896,0.025599999353289604,0.07393298437818885,0.34075449453666806,159.75834520527113,12.002229169415871,0.0,nvml_total_energy_mj,268435456,134217728,10.485760264892583,5.242880132446292,0.0,0.0,Integer/fixed matmul support varies; skipped rows indicate unsupported ops on this GPU/build.
1024,bf16,float,32.225820497842506,0.6555145082529634,0.06860800087451935,0.20214100368320942,0.9262635128106922,469.7093646086838,34.791201480078975,3.334,nvml_total_energy_mj,2147483648,1073741824,31.300775720424237,15.650387860212119,1.5525147318840027e-09,3.1050294637680054e-09,Integer/fixed matmul support varies; skipped rows indicate unsupported ops on this GPU/build.
2048,bf16,float,253.9030745101627,3.122197522316128,0.2662400007247925,0.5328480037860572,3.9212855268269777,953.6623866397061,64.74995834226225,11.087,nvml_total_energy_mj,17179869184,8589934592,64.52775367048817,32.26387683524408,6.453483365476131e-10,1.2906966730952263e-09,Integer/fixed matmul support varies; skipped rows indicate unsupported ops on this GPU/build.
